sex,categoryName,count,percentage
F,ACCESSORIES,105,82.0312
F,T-SHIRT,10,7.8125
F,BAG,6,4.6875
F,HAT,2,1.5625
F,JACKET,2,1.5625
F,SHOES,1,0.7812
F,SWEATER,1,0.7812
F,WALLET,1,0.7812
M,T-SHIRT,4707,39.0104
M,HAT,1905,15.7882
M,SWEATER,1403,11.6277
M,ACCESSORIES,1055,8.7436
M,BAG,845,7.0031
M,JACKET,734,6.0832
M,PANTS,731,6.0583
M,SHIRT,315,2.6106
M,SHOES,197,1.6327
M,WALLET,65,0.5387
M,POLO SHIRT,53,0.4393
M,SANDALS,42,0.3481
M,OVERALL,10,0.0829
M,BUNDLE,2,0.0166
M,TSHIRT,2,0.0166
U,T-SHIRT,102,40.6375
U,BAG,43,17.1315
U,SWEATER,31,12.3506
U,ACCESSORIES,29,11.5538
U,HAT,23,9.1633
U,WALLET,7,2.7888
U,BUNDLE,4,1.5936
U,JACKET,4,1.5936
U,PANTS,2,0.7968
U,TSHIRT,2,0.7968
U,POLO SHIRT,1,0.3984
U,SANDALS,1,0.3984
U,SHIRT,1,0.3984
U,SHOES,1,0.3984
